"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-TimeSeriesInsights";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-TimeSeriesInsights.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-TrafficManager";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-TrafficManager.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-VirtualNetwork";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-VirtualNetwork.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-VM";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-VM.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-VMSS";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-VMSS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-VNetGW";"1.1.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-VNetGW.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-VWanS2SVPNGW";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-VWanS2SVPNGW.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-WebServerFarm";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-WebServerFarm.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Website";"1.2.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Website.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-WVDAppGroup";"1.1.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-WVDAppGroup.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-WVDHostPools";"1.3.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-WVDHostPools.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-WVDWorkspace";"1.1.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-WVDWorkspace.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-FirewallPolicy";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-FirewallPolicy.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-MDFC-Config";"3.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deploy-MDFC-Config.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-MySQL-sslEnforcement";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-MySQL-sslEnforcement.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Nsg-FlowLogs";"1.0.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Nsg-FlowLogs.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Nsg-FlowLogs-to-LA";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Nsg-FlowLogs-to-LA.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-PostgreSQL-sslEnforcement";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-PostgreSQL-sslEnforcement.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Private-DNS-Zones";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deploy-Private-DNS-Zones.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Sql-AuditingSettings";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Sql-AuditingSettings.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-SQL-minTLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-SQL-minTLS.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Sql-Security";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deploy-Sql-Security.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Sql-SecurityAlertPolicies";"1.1.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Sql-SecurityAlertPolicies.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Sql-Tde";"1.1.1-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Sql-Tde.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Sql-vulnerabilityAssessments";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Sql-vulnerabilityAssessments.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-SqlMi-minTLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-SqlMi-minTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Storage-sslEnforcement";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Storage-sslEnforcement.html"
